ablation_mode,model,run,task,question,window,expected_status,expected_entity,expected_value,entity_correct,numeric_correct,unsupported_claim,strict_correct,answer_correct,timeout,error,wall_latency_ms,ollama_total_duration_ms,ollama_load_duration_ms,ollama_prompt_eval_duration_ms,ollama_eval_duration_ms,prompt_eval_count,eval_count,tokens_per_second,num_snapshots_ground_truth,num_snapshots_used,num_microservices_used,num_edges_used,num_events_used,num_resource_log_rows_used,num_communication_log_rows_used,num_event_log_rows_used,prompt_chars,evidence_json_chars,ground_truth_direct_graph_answer,used_direct_answer_or_retrieval_note,llm_answer
log_rag,mistral:latest,1,highest_node_anomaly_rate,Which microservice has the highest anomaly rate in the last 15 seconds?,15 seconds,no_positive_evidence,,,False,,False,False,False,False,False,67185.32,67179.78,64912.18,1725.954,522.705,2048,23,44.002,2,0,0,0,0,208,240,0,5672,4700,"In 2 RTKG snapshots from 2026-03-26T18:05:30 to 2026-03-26T18:05:45, no node anomalies were found.",Log-RAG retrieved raw log evidence for the requested time window. The answer must be inferred from the retrieved log records.,"The microservice with the highest anomaly rate in the last 15 seconds is ""shippingservice""."
log_rag,mistral:latest,2,highest_node_anomaly_rate,Which microservice has the highest anomaly rate in the last 15 seconds?,15 seconds,no_positive_evidence,,,False,,False,False,False,False,False,2320.219,2315.612,33.605,1736.8,526.618,2048,23,43.675,2,0,0,0,0,208,240,0,5672,4700,"In 2 RTKG snapshots from 2026-03-26T18:05:30 to 2026-03-26T18:05:45, no node anomalies were found.",Log-RAG retrieved raw log evidence for the requested time window. The answer must be inferred from the retrieved log records.,"The microservice with the highest anomaly rate in the last 15 seconds is ""shippingservice""."
log_rag,mistral:latest,3,highest_node_anomaly_rate,Which microservice has the highest anomaly rate in the last 15 seconds?,15 seconds,no_positive_evidence,,,False,,False,False,False,False,False,2322.946,2318.327,33.509,1743.958,522.37,2048,23,44.03,2,0,0,0,0,208,240,0,5672,4700,"In 2 RTKG snapshots from 2026-03-26T18:05:30 to 2026-03-26T18:05:45, no node anomalies were found.",Log-RAG retrieved raw log evidence for the requested time window. The answer must be inferred from the retrieved log records.,"The microservice with the highest anomaly rate in the last 15 seconds is ""shippingservice""."
log_rag,llama3.1:8b,1,highest_node_anomaly_rate,Which microservice has the highest anomaly rate in the last 15 seconds?,15 seconds,no_positive_evidence,,,False,,False,False,False,False,False,6522.963,6519.933,4590.954,1406.349,484.562,1661,21,43.338,2,0,0,0,0,208,240,0,5672,4700,"In 2 RTKG snapshots from 2026-03-26T18:05:30 to 2026-03-26T18:05:45, no node anomalies were found.",Log-RAG retrieved raw log evidence for the requested time window. The answer must be inferred from the retrieved log records.,The microservice with the highest anomaly rate in the last 15 seconds is shippingservice.
log_rag,llama3.1:8b,2,highest_node_anomaly_rate,Which microservice has the highest anomaly rate in the last 15 seconds?,15 seconds,no_positive_evidence,,,False,,False,False,False,False,False,756.479,753.436,237.205,18.358,460.429,1661,21,45.61,2,0,0,0,0,208,240,0,5672,4700,"In 2 RTKG snapshots from 2026-03-26T18:05:30 to 2026-03-26T18:05:45, no node anomalies were found.",Log-RAG retrieved raw log evidence for the requested time window. The answer must be inferred from the retrieved log records.,The microservice with the highest anomaly rate in the last 15 seconds is shippingservice.
log_rag,llama3.1:8b,3,highest_node_anomaly_rate,Which microservice has the highest anomaly rate in the last 15 seconds?,15 seconds,no_positive_evidence,,,False,,False,False,False,False,False,767.127,764.175,242.037,18.353,465.08,1661,21,45.154,2,0,0,0,0,208,240,0,5672,4700,"In 2 RTKG snapshots from 2026-03-26T18:05:30 to 2026-03-26T18:05:45, no node anomalies were found.",Log-RAG retrieved raw log evidence for the requested time window. The answer must be inferred from the retrieved log records.,The microservice with the highest anomaly rate in the last 15 seconds is shippingservice.
log_rag,mistral-nemo:12b,1,highest_node_anomaly_rate,Which microservice has the highest anomaly rate in the last 15 seconds?,15 seconds,no_positive_evidence,,,False,,False,False,False,False,False,105926.324,105919.587,103556.953,2185.177,154.835,1829,6,38.751,2,0,0,0,0,208,240,0,5672,4700,"In 2 RTKG snapshots from 2026-03-26T18:05:30 to 2026-03-26T18:05:45, no node anomalies were found.",Log-RAG retrieved raw log evidence for the requested time window. The answer must be inferred from the retrieved log records.,The shippingservice
log_rag,mistral-nemo:12b,2,highest_node_anomaly_rate,Which microservice has the highest anomaly rate in the last 15 seconds?,15 seconds,no_positive_evidence,,,False,,False,False,False,False,False,448.494,441.679,239.147,26.039,155.318,1829,6,38.63,2,0,0,0,0,208,240,0,5672,4700,"In 2 RTKG snapshots from 2026-03-26T18:05:30 to 2026-03-26T18:05:45, no node anomalies were found.",Log-RAG retrieved raw log evidence for the requested time window. The answer must be inferred from the retrieved log records.,The shippingservice
log_rag,mistral-nemo:12b,3,highest_node_anomaly_rate,Which microservice has the highest anomaly rate in the last 15 seconds?,15 seconds,no_positive_evidence,,,False,,False,False,False,False,False,441.007,434.412,230.821,27.623,154.544,1829,6,38.824,2,0,0,0,0,208,240,0,5672,4700,"In 2 RTKG snapshots from 2026-03-26T18:05:30 to 2026-03-26T18:05:45, no node anomalies were found.",Log-RAG retrieved raw log evidence for the requested time window. The answer must be inferred from the retrieved log records.,The shippingservice
log_rag,gemma3:12b,1,highest_node_anomaly_rate,Which microservice has the highest anomaly rate in the last 15 seconds?,15 seconds,no_positive_evidence,,,False,,False,False,False,False,False,128532.613,128517.658,124721.195,2963.826,731.038,2048,18,24.623,2,0,0,0,0,208,240,0,5672,4700,"In 2 RTKG snapshots from 2026-03-26T18:05:30 to 2026-03-26T18:05:45, no node anomalies were found.",Log-RAG retrieved raw log evidence for the requested time window. The answer must be inferred from the retrieved log records.,The shippingservice has the highest anomaly rate in the last 15 seconds.
